food_id,food_name,state,region,description,veg_nonveg,taste,course_type,image_filename,texture
NI_JK_001,Rogan Josh,Jammu & Kashmir,North India,"A traditional Kashmiri lamb curry slow-cooked with aromatic spices, known for its deep red color and rich flavor, and is a signature dish of the Wazwan feast.",meat-based,savoury,main course,NI_JK_RoganJosh_001.jpg,meat_gravy
NI_JK_002,Gushtaba,Jammu & Kashmir,North India,Minced mutton meatballs cooked in a creamy yogurt-based gravy and traditionally served as the ceremonial final dish of the Kashmiri Wazwan meal.,meat-based,savoury,main course,NI_JK_Gushtaba_002.jpg,meat_gravy
NI_JK_003,Kashmiri Pulao,Jammu & Kashmir,North India,"Fragrant basmati rice prepared with mild spices, saffron, and dry fruits, offering a subtly sweet flavor profile characteristic of Kashmiri cuisine.",vegetarian,sweet,main course,NI_JK_KashmiriPulao_003.jpg,rice_based
NI_JK_004,Haak Saag,Jammu & Kashmir,North India,"Simple and nutritious leafy green dish made from collard, radish, or spinach greens, lightly spiced and traditionally served with steamed rice.",vegetarian,savoury,main course,NI_JK_HaakSaag_004.jpg,veg_gravy
NI_JK_005,Kahwa,Jammu & Kashmir,North India,"Traditional Kashmiri green tea infused with saffron, cardamom, cinnamon, and almonds, commonly served hot as a hospitality beverage.",vegetarian,savoury,beverage,NI_JK_Kahwa_005.jpg,beverage
NI_JK_006,Yakhni,Jammu & Kashmir,North India,"Mild yogurt-based curry prepared with tender meat and whole spices, known for its creamy texture and delicate, non-spicy flavor profile.",meat-based,spicy,main course,NI_JK_Yakhni_006.jpg,veg_gravy
NI_JK_007,Wazwan,Jammu & Kashmir,North India,"An elaborate multi-course traditional Kashmiri feast consisting mainly of meat-based dishes, prepared for weddings and major celebrations.",meat-based,savoury,main course,NI_JK_Wazwan_007.jpg,multi_course_meal
NI_JK_008,Dum Aloo,Jammu & Kashmir,North India,"Baby potatoes slow-cooked in a spicy yogurt-based gravy without onion or garlic, flavored with traditional Kashmiri spices.",vegetarian,spicy,main course,NI_JK_DumAloo_008.jpg,veg_gravy
NI_JK_009,Lyodur Tschaman,Jammu & Kashmir,North India,"Cottage cheese curry cooked with turmeric and cream, resulting in a rich, mildly spiced yellow gravy unique to Kashmiri cuisine.",vegetarian,savoury,main course,NI_JK_LyodurTschaman_009.jpg,veg_gravy
NI_JK_010,Kashmiri Rajma,Jammu & Kashmir,North India,"Red kidney beans cooked in a flavorful gravy using regional spices, forming a hearty and protein-rich vegetarian dish.",vegetarian,savoury,main course,NI_JK_KashmiriRajma_010.jpg,veg_gravy
NI_HP_001,Madra,Himachal Pradesh,North India,"Creamy yogurt-based curry prepared with chickpeas or mixed vegetables, slow-cooked with aromatic spices such as cumin, cardamom, cloves, and cinnamon.",vegetarian,savoury,main course,NI_HP_Madra_001.jpg,veg_gravy
NI_HP_002,Kullu Trout Fish,Himachal Pradesh,North India,"Freshwater trout lightly marinated and pan-fried in mustard oil using minimal spices, highlighting the natural flavor of the fish.",meat-based,savoury,main course,NI_HP_KulluTroutFish_002.jpg,semi_gravy
NI_HP_003,Bhey,Himachal Pradesh,North India,"Stir-fried lotus stem slices cooked with ginger, garlic, onions, gram flour, and mild spices, offering a crunchy texture and earthy flavor.",vegetarian,savoury,main course,NI_HP_Bhey_003.jpg,semi_gravy
NI_HP_004,Aktori,Himachal Pradesh,North India,"Traditional festive dish prepared using buckwheat leaves and wheat flour, cooked with minimal spices.",vegetarian,savoury,main course,NI_HP_Aktori_004.jpg,pancake
